종목코드,기업명,ROE,ROA,GPM,OPM,NPM,EBITDA,부채비율,유동비율,당좌비율,자기자본비율,매출액증가율,영업이익증가율,EPS증가율,BPS증가율,재고자산회전율,총자산회전율,PER,PBR,PSR,PCR,EV/EBITDA,GP/A,OCF,FCF,주가,시가총액
000010,신한은행,9.15,0.6,0.0,0.0,0.0,41471.97,1416.49,0.0,0.0,6.59,0.0,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
000020,동화약품,6.94,5.0,0.0,5.2,7.82,187.76,38.79,223.96,223.96,72.05,6.08,-37.24,0.0,0.0,361108562008.0,0.6392,0.0,0.0,0.768,0.0,23.18,0.0,0.0,0.0,9930,277321381578
000030,우리은행,9.42,0.55,0.0,0.0,0.0,33169.58,1615.2,0.0,0.0,5.83,0.0,-12.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
000040,KR모터스,-93.85,-15.17,0.0,-22.77,-26.82,-178.57,518.49,48.83,48.83,16.17,-33.02,-186.42,0.0,0.0,78406266627.0,0.5658,0.0,0.0,0.3776,0.0,0.0,0.0,0.0,0.0,343,29606315789
000050,경방,-1.82,-1.11,0.0,4.06,-3.42,159.69,63.52,51.76,51.76,61.15,1.1,-49.93,0.0,0.0,393518958996.0,0.3261,0.0,0.0,0.6159,0.0,44.53,0.0,0.0,0.0,8840,242350099800
000060,메리츠화재해상보험,28.61,3.96,0.0,0.0,0.0,21080.12,621.46,0.0,0.0,13.86,0.0,23.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
000070,삼양홀딩스,8.12,4.42,0.0,2.95,7.07,948.03,83.68,138.86,138.86,54.44,-3.19,-28.36,0.0,0.0,3210853491794.0,0.6251,0.0,0.0,0.168,0.0,30.38,0.0,0.0,0.0,69500,539558055152
000080,하이트진로,3.18,1.06,0.0,4.92,1.41,1239.2,200.96,65.2,65.2,33.23,0.91,-34.97,0.0,0.0,2520181551629.0,0.7504,0.0,0.0,0.6136,0.0,30.58,0.0,0.0,0.0,22050,1546401315789
000100,유한양행,6.38,4.76,0.0,3.05,7.21,567.6,33.89,215.45,215.45,74.69,4.68,57.54,0.0,0.0,1858983759666.0,0.6606,0.0,0.0,2.9391,0.0,108.81,0.0,0.0,0.0,68600,5463796512820
000110,한국스탠다드차타드은행,6.59,0.41,0.0,0.0,0.0,4711.54,1511.58,0.0,0.0,6.21,0.0,-3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
000120,CJ대한통운,6.01,2.6,0.0,4.08,2.06,4802.35,131.45,94.89,94.89,43.21,-2.99,16.62,0.0,0.0,11767893663269.0,1.2576,0.0,0.0,0.2481,0.0,17.15,0.0,0.0,0.0,128000,2920029962546
000140,하이트진로홀딩스,1.66,0.46,0.0,5.51,0.73,1380.73,260.11,50.5,50.5,27.77,0.91,-31.82,0.0,0.0,2506869281995.0,0.6299,0.0,0.0,0.0813,0.0,22.29,0.0,0.0,0.0,8780,203722692725
000150,두산,2.43,0.96,0.0,7.51,1.42,14362.62,152.41,100.07,100.07,39.62,12.56,27.55,0.0,0.0,19130129881903.0,0.6763,0.0,0.0,0.0775,0.0,12.92,0.0,0.0,0.0,91500,1481735864661
000180,성창기업지주,-4.19,-3.12,0.0,-10.05,-14.45,-167.01,34.15,52.86,52.86,74.54,-26.93,-45.39,0.0,0.0,166253799305.0,0.2162,0.0,0.0,0.7859,0.0,0.0,0.0,0.0,0.0,1874,130659444444
000210,DL,-2.67,-1.0,0.0,3.0,-2.41,1506.96,167.34,90.23,90.23,37.41,-3.01,-47.03,0.0,0.0,5017815821242.0,0.414,0.0,0.0,0.213,0.0,57.43,0.0,0.0,0.0,51000,1068789473684
000220,유유제약,-4.6,-2.8,0.0,0.27,-4.04,3.65,64.69,203.29,203.29,60.72,-1.2,161.57,0.0,0.0,137209588673.0,0.6922,0.0,0.0,0.6606,0.0,462.23,0.0,0.0,0.0,5320,90641561423
000230,일동홀딩스,-69.92,-13.54,0.0,-12.46,-18.61,-795.62,416.18,50.74,50.74,19.37,-5.49,19.15,0.0,0.0,638447517670.0,0.728,0.0,0.0,0.1917,0.0,0.0,0.0,0.0,0.0,10600,122369876072
000240,한국앤컴퍼니,4.66,4.03,0.0,23.55,17.18,2565.63,15.54,155.67,155.67,86.55,-0.57,4.61,0.0,0.0,1089668057103.0,0.2348,0.0,0.0,1.3391,0.0,8.12,0.0,0.0,0.0,15370,1459166320000
000250,삼천당제약,-1.4,-1.03,0.0,4.96,-2.17,95.6,36.71,282.81,282.81,73.15,8.65,-21.8,0.0,0.0,192668515628.0,0.4722,0.0,0.0,9.1556,0.0,195.98,0.0,0.0,0.0,75200,1764001483007
000270,기아,18.85,10.89,0.0,11.63,8.79,116078.73,73.18,145.93,145.93,57.74,15.31,60.48,0.0,0.0,99808420000000.0,1.2379,0.0,0.0,0.3837,0.0,6.23,0.0,0.0,0.0,98100,38299484736180
000300,DH오토넥스,138.43,-238.53,0.0,-91.32,-540.29,-299.46,-158.03,11.57,11.57,-172.31,-34.69,-720.4,0.0,0.0,32790275265.0,0.4415,0.0,0.0,0.2085,0.0,0.0,0.0,0.0,0.0,165,6835714285
000320,노루홀딩스,7.45,4.35,0.0,5.55,4.25,674.36,71.35,169.25,169.25,58.36,17.73,127.65,0.0,0.0,1214616529837.0,1.0217,0.0,0.0,0.1254,0.0,9.6,0.0,0.0,0.0,11460,152305446428
000370,한화손해보험,6.36,1.17,0.0,0.0,0.0,3065.24,441.44,0.0,0.0,18.47,0.0,49.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.71,0.0,0.0,0.0,4020,469318573551
000390,삼화페인트공업,5.22,2.73,0.0,4.09,2.55,258.27,91.1,139.27,139.27,52.33,-2.27,30.08,0.0,0.0,631381875774.0,1.069,0.0,0.0,0.2852,0.0,17.87,0.0,0.0,0.0,6620,180075184794
000400,롯데손해보험,24.01,2.03,0.0,0.0,0.0,3962.91,1081.55,0.0,0.0,8.46,0.0,416.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.12,0.0,0.0,0.0,2340,726203203661
000430,대원강업,6.11,3.68,0.0,5.35,3.41,591.72,66.02,111.69,111.69,60.23,8.03,168.27,0.0,0.0,1106756862193.0,1.0784,0.0,0.0,0.3036,0.0,12.58,0.0,0.0,0.0,5420,336052193475
000440,중앙에너비스,-0.44,-0.41,0.0,-1.33,-0.45,-7.39,7.9,699.08,699.08,92.68,-22.55,-191.06,0.0,0.0,55473865404.0,0.9015,0.0,0.0,1.9523,0.0,0.0,0.0,0.0,0.0,17390,108303302325
000480,시알홀딩스,3.25,1.66,0.0,4.82,3.29,394.15,96.18,60.67,60.67,50.97,2.36,74.42,0.0,0.0,816904445534.0,0.5037,0.0,0.0,0.3686,0.0,27.81,0.0,0.0,0.0,6420,301071512770
000490,대동,2.07,0.61,0.0,4.56,0.83,654.03,239.02,105.79,105.79,29.5,-2.07,-25.91,0.0,0.0,1433390777280.0,0.7327,0.0,0.0,0.3396,0.0,28.53,0.0,0.0,0.0,16890,486809911678
000500,가온전선,5.41,2.23,0.0,2.92,1.19,437.2,142.23,144.74,144.74,41.28,5.8,53.61,0.0,0.0,1498606544413.0,1.869,0.0,0.0,0.2302,0.0,18.66,0.0,0.0,0.0,20850,344919788828
000520,삼일제약,1.3,0.45,0.0,3.3,0.85,64.71,189.98,48.09,48.09,34.48,9.28,61.11,0.0,0.0,196345807846.0,0.5297,0.0,0.0,0.7302,0.0,59.68,0.0,0.0,0.0,6610,143369980119
000540,흥국화재,23.23,2.63,0.0,0.0,0.0,4077.7,784.23,0.0,0.0,11.31,0.0,54.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.65,0.0,0.0,0.0,3025,194351977401
000590,CS홀딩스,6.38,5.77,0.0,11.12,12.88,191.29,10.57,941.01,941.01,90.44,-1.88,22.37,0.0,0.0,171965239524.0,0.4479,0.0,0.0,0.4211,0.0,5.7,0.0,0.0,0.0,62700,72407360406
000640,동아쏘시오홀딩스,5.44,2.85,0.0,6.79,4.93,768.82,90.51,65.79,65.79,52.49,11.54,103.1,0.0,0.0,1132002860400.0,0.5784,0.0,0.0,0.5971,0.0,20.89,0.0,0.0,0.0,100400,675930949948
000650,천일고속,-25.25,-8.79,0.0,-11.7,-10.94,-51.48,187.23,57.78,57.78,34.82,16.7,30.54,0.0,0.0,43998455771.0,0.8037,0.0,0.0,1.5415,0.0,0.0,0.0,0.0,0.0,47450,67825588235
000660,SK하이닉스,-17.08,-9.11,0.0,-23.59,-27.89,-77303.13,87.52,145.03,145.03,53.33,-26.57,-213.52,0.0,0.0,32765719000000.0,0.3266,0.0,0.0,3.0648,0.0,0.0,0.0,0.0,0.0,140900,100419767260638
000670,영풍,-1.95,-1.5,0.0,-4.51,-2.22,-1698.13,30.01,199.05,199.05,76.92,-15.08,-346.56,0.0,0.0,3761732632263.0,0.6756,0.0,0.0,2.573,0.0,0.0,0.0,0.0,0.0,520000,9679018404907
000680,LS네트웍스,1.9,0.82,0.0,3.06,2.82,116.18,132.13,47.75,47.75,43.08,4.61,44.93,0.0,0.0,379631754364.0,0.29,0.0,0.0,0.8841,0.0,93.03,0.0,0.0,0.0,4260,335651223021
000700,유수홀딩스,5.21,4.52,0.0,6.15,6.81,210.06,15.26,566.13,566.13,86.76,-38.71,-29.15,0.0,0.0,341773101419.0,0.6643,0.0,0.0,0.4403,0.0,10.41,0.0,0.0,0.0,5780,150498113207
