종목코드,기업명,ROE,ROA,GPM,OPM,NPM,EBITDA,부채비율,유동비율,당좌비율,자기자본비율,매출액증가율,영업이익증가율,EPS증가율,BPS증가율,재고자산회전율,총자산회전율,PER,PBR,PSR,PCR,EV/EBITDA,GP/A,OCF,FCF,주가,시가총액
000010,신한은행,10.05,0.66,0.0,0.0,0.0,50592.46,1414.2,0.0,0.0,6.6,0.0,21.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
000020,동화약품,0.53,0.35,0.0,2.88,0.46,134.11,54.26,177.45,177.45,64.82,28.74,-28.57,0.0,0.0,464874735245.0,0.7502,0.0,0.0,0.3731,0.0,29.18,0.0,0.0,0.0,6210,173430592105
000030,우리은행,10.53,0.63,0.0,0.0,0.0,40693.08,1578.67,0.0,0.0,5.96,0.0,22.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
000040,KR모터스,-43.57,-16.68,0.0,-30.81,-88.75,-49.37,161.23,39.52,39.52,38.28,20.62,20.2,0.0,0.0,16024969823.0,0.1879,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,440,37978947368
000050,경방,3.11,1.94,0.0,8.42,5.94,334.49,59.86,58.95,58.95,62.55,0.95,109.47,0.0,0.0,397276756397.0,0.3272,0.0,0.0,0.4382,0.0,18.8,0.0,0.0,0.0,6350,174086327345
000060,메리츠화재해상보험,29.79,3.94,0.0,0.0,0.0,22972.94,656.69,0.0,0.0,13.22,0.0,8.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
000070,삼양홀딩스,2.98,1.69,0.0,3.59,2.52,1275.39,76.46,188.72,188.72,56.67,10.66,34.53,0.0,0.0,3553264096673.0,0.6716,0.0,0.0,0.1431,0.0,21.96,0.0,0.0,0.0,65500,508504354136
000080,하이트진로,8.33,2.78,0.0,8.01,3.68,2081.42,199.4,61.89,61.89,33.4,3.13,67.96,0.0,0.0,2599183408023.0,0.7552,0.0,0.0,0.5315,0.0,17.65,0.0,0.0,0.0,19700,1381592105263
000100,유한양행,2.56,1.88,0.0,2.65,2.67,548.8,36.8,219.7,219.7,73.1,11.23,-3.77,0.0,0.0,2067791451854.0,0.7028,0.0,0.0,4.3179,0.0,177.11,0.0,0.0,0.0,112100,8928448820512
000110,한국스탠다드차타드은행,5.93,0.39,0.0,0.0,0.0,5284.44,1438.04,0.0,0.0,6.5,0.0,12.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
