종목코드,기업명,ROE,ROA,GPM,OPM,NPM,EBITDA,부채비율,유동비율,당좌비율,자기자본비율,매출액증가율,영업이익증가율,EPS증가율,BPS증가율,재고자산회전율,총자산회전율,PER,PBR,PSR,PCR,EV/EBITDA,GP/A,OCF,FCF,주가,시가총액
000020,동화약품,5.44,4.37,0.0,7.68,6.68,224.96,24.34,331.32,331.32,80.42,7.7,-2.84,0.0,0.0,293018112028.0,0.6543,0.0,0.0,1.3915,0.0,22.02,0.0,0.0,0.0,14600,407743421052
000040,KR모터스,-23.74,-7.08,0.0,-2.02,-8.93,-26.98,235.36,72.93,72.93,29.82,13.3,-321.29,0.0,0.0,133510437922.0,0.7926,0.0,0.0,0.5592,0.0,0.0,0.0,0.0,0.0,865,74663157894
000050,경방,2.96,1.75,0.0,14.03,5.81,537.97,68.96,54.4,54.4,59.19,16.44,146.16,0.0,0.0,383357144805.0,0.3017,0.0,0.0,0.9833,0.0,16.65,0.0,0.0,0.0,13750,376958582834
000070,삼양홀딩스,11.3,6.14,0.0,11.32,8.82,3517.0,83.91,164.65,164.65,54.37,25.74,106.47,0.0,0.0,3107313000000.0,0.6966,0.0,0.0,0.2453,0.0,7.95,0.0,0.0,0.0,98200,762368359941
000080,하이트진로,6.57,1.98,0.0,7.9,3.26,1741.11,232.16,71.01,71.01,30.11,-2.37,-12.28,0.0,0.0,2202903850371.0,0.6067,0.0,0.0,0.9599,0.0,26.72,0.0,0.0,0.0,30150,2114467105263
000100,유한양행,5.12,4.02,0.0,2.88,5.87,485.96,27.27,283.37,283.37,78.57,4.19,-42.32,0.0,0.0,1687810317744.0,0.685,0.0,0.0,2.9305,0.0,112.64,0.0,0.0,0.0,62100,4946089846153
000120,CJ대한통운,3.94,1.76,0.0,3.03,1.4,3438.81,123.93,95.89,95.89,44.66,5.22,5.7,0.0,0.0,11343651787492.0,1.2613,0.0,0.0,0.2534,0.0,22.83,0.0,0.0,0.0,126000,2874404494382
000150,두산,7.73,2.52,0.0,7.16,4.97,9459.31,206.1,82.42,82.42,32.67,15.54,4747.72,0.0,0.0,13204153075980.0,0.5077,0.0,0.0,0.1447,0.0,20.53,0.0,0.0,0.0,118000,1910872481203
000180,성창기업지주,1.1,0.84,0.0,5.29,3.0,104.72,30.5,82.46,82.46,76.63,15.81,30.35,0.0,0.0,197940313061.0,0.2813,0.0,0.0,0.8612,0.0,31.99,0.0,0.0,0.0,2445,170470833333
000210,DL,16.61,8.91,0.0,8.19,30.89,1931.62,86.49,172.0,172.0,53.62,50.61,62.25,0.0,0.0,2358774796779.0,0.2883,0.0,0.0,0.5411,0.0,26.25,0.0,0.0,0.0,60900,1276260371517
000220,유유제약,-0.72,-0.48,0.0,1.04,-0.8,12.0,49.97,329.46,329.46,66.68,17.87,-80.86,0.0,0.0,115655484997.0,0.5993,0.0,0.0,1.1505,0.0,164.45,0.0,0.0,0.0,7810,133065901262
000230,일동홀딩스,-73.47,-14.63,0.0,-13.99,-22.74,-828.44,402.22,68.17,68.17,19.91,-0.69,-799.04,0.0,0.0,592374545924.0,0.6434,0.0,0.0,0.2884,0.0,0.0,0.0,0.0,0.0,14800,170856053384
000240,한국앤컴퍼니,5.38,4.93,0.0,23.7,20.87,2283.05,9.26,260.44,260.44,91.53,17.59,44.72,0.0,0.0,963300354498.0,0.236,0.0,0.0,1.5473,0.0,8.04,0.0,0.0,0.0,15700,1490495200000
000250,삼천당제약,-4.14,-3.01,0.0,-9.14,-6.19,-152.93,37.41,312.7,312.7,72.77,0.25,-376.9,0.0,0.0,167274903875.0,0.4863,0.0,0.0,6.0791,0.0,0.0,0.0,0.0,0.0,43350,1016881174047
000270,기아,13.63,7.12,0.0,7.25,6.81,50656.85,91.48,135.44,135.44,52.23,18.07,145.14,0.0,0.0,69862366000000.0,1.0451,0.0,0.0,0.4594,0.0,12.64,0.0,0.0,0.0,82200,32091922989949
000300,DH오토넥스,1.43,0.33,0.0,2.57,0.39,131.57,327.91,93.91,93.91,23.37,13.04,-9.52,0.0,0.0,511973797943.0,0.8613,0.0,0.0,0.1064,0.0,38.76,0.0,0.0,0.0,1315,54478571428
000320,노루홀딩스,1.83,1.01,0.0,2.79,1.12,266.6,80.89,160.61,160.61,55.28,12.64,-25.49,0.0,0.0,955214023609.0,0.905,0.0,0.0,0.1774,0.0,24.06,0.0,0.0,0.0,12750,169449776785
000390,삼화페인트공업,-0.82,-0.4,0.0,0.13,-0.38,8.24,106.84,139.17,139.17,48.35,14.48,-94.52,0.0,0.0,631605900694.0,1.0319,0.0,0.0,0.3975,0.0,688.69,0.0,0.0,0.0,9230,251071594508
000430,대원강업,-0.5,-0.29,0.0,-0.58,-0.33,-49.59,70.37,101.25,101.25,58.7,0.12,-195.13,0.0,0.0,862222796887.0,0.8771,0.0,0.0,0.2682,0.0,0.0,0.0,0.0,0.0,3730,231268391451
000440,중앙에너비스,0.42,0.39,0.0,0.06,0.41,0.38,8.06,450.6,450.6,92.54,13.34,-70.5,0.0,0.0,60712577714.0,0.9418,0.0,0.0,1.8003,0.0,3006.31,0.0,0.0,0.0,17550,109299767441
000480,시알홀딩스,4.23,2.48,0.0,4.44,4.47,331.38,71.09,92.73,92.73,58.45,5.82,44.57,0.0,0.0,746291404630.0,0.5531,0.0,0.0,5.0899,0.0,131.55,0.0,0.0,0.0,81000,3798565815324
000490,대동,8.98,2.75,0.0,3.24,2.94,382.06,226.67,99.49,99.49,30.61,31.64,15.3,0.0,0.0,1179193321819.0,0.9354,0.0,0.0,0.2469,0.0,30.51,0.0,0.0,0.0,10100,291105986261
000500,가온전선,2.18,0.89,0.0,1.55,0.55,165.72,145.78,163.03,163.03,40.69,24.84,30.99,0.0,0.0,1070383204799.0,1.6243,0.0,0.0,0.3678,0.0,47.34,0.0,0.0,0.0,23800,393721389645
000520,삼일제약,-8.13,-2.36,0.0,0.3,-3.98,4.0,244.36,63.05,63.05,29.04,9.14,-93.89,0.0,0.0,134246777887.0,0.5929,0.0,0.0,1.3475,0.0,854.43,0.0,0.0,0.0,8340,180893439363
000590,CS홀딩스,6.75,5.96,0.0,12.36,13.25,196.48,13.3,647.77,647.77,88.26,20.8,23.56,0.0,0.0,159017955309.0,0.4496,0.0,0.0,0.4655,0.0,5.88,0.0,0.0,0.0,64100,74024111675
000640,동아쏘시오홀딩스,6.14,3.58,0.0,6.98,6.86,615.64,71.71,76.73,76.73,58.24,12.59,21.64,0.0,0.0,881944084032.0,0.5214,0.0,0.0,0.8779,0.0,24.05,0.0,0.0,0.0,115000,774223697650
000650,천일고속,-1.58,-0.91,0.0,-33.55,-1.94,-98.44,74.53,240.1,240.1,57.3,-5.83,1.52,0.0,0.0,29342954504.0,0.4679,0.0,0.0,3.2785,0.0,0.0,0.0,0.0,0.0,67300,96199411764
000660,SK하이닉스,15.46,9.98,0.0,28.86,22.36,124103.4,54.98,181.93,181.93,64.52,34.79,147.58,0.0,0.0,42997792000000.0,0.4461,0.0,0.0,2.1714,0.0,10.28,0.0,0.0,0.0,131000,93364013563829
000670,영풍,4.36,3.08,0.0,-0.75,4.75,-267.84,41.48,182.7,182.7,70.68,12.52,-157.37,0.0,0.0,3582074826364.0,0.6488,0.0,0.0,3.4036,0.0,0.0,0.0,0.0,0.0,655000,12191840490797
000680,LS네트웍스,10.85,4.59,0.0,1.1,15.39,43.09,136.51,163.48,163.48,42.28,16.61,113.35,0.0,0.0,390470563901.0,0.2982,0.0,0.0,0.6074,0.0,230.42,0.0,0.0,0.0,3010,237162014388
000700,유수홀딩스,9.6,7.81,0.0,0.0,0.0,203.47,22.95,418.13,418.13,81.33,0.0,233.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.66,0.0,0.0,0.0,6300,164037735849
000720,현대건설,5.88,2.82,0.0,4.17,3.07,7535.04,108.26,190.81,190.81,48.02,6.45,37.26,0.0,0.0,18065534000000.0,0.92,0.0,0.0,0.274,0.0,20.12,0.0,0.0,0.0,44450,4949771186440
000760,이화산업,28.39,21.54,0.0,-8.59,102.4,-49.65,31.84,162.07,162.07,75.85,13.01,-42.43,0.0,0.0,57775111897.0,0.2103,0.0,0.0,0.7528,0.0,0.0,0.0,0.0,0.0,15550,43495198079
000800,경남기업,26.07,6.91,0.0,5.32,8.25,221.01,276.98,142.29,142.29,26.53,36.53,67.46,0.0,0.0,415652661076.0,0.8378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
000850,화천기공,3.02,2.19,0.0,1.63,4.57,33.23,37.97,243.42,243.42,72.48,26.11,132.56,0.0,0.0,203972289491.0,0.4794,0.0,0.0,0.3695,0.0,57.92,0.0,0.0,0.0,34250,75368315508
000860,강남제비스코,7.17,5.25,0.0,-2.15,8.03,-127.2,36.57,220.79,220.79,73.22,73.41,-566.84,0.0,0.0,590983999981.0,0.6537,0.0,0.0,0.5487,0.0,0.0,0.0,0.0,0.0,24950,324281550068
000880,한화,10.27,1.07,0.0,5.54,4.09,29278.88,861.49,107.08,107.08,10.4,3.75,89.02,0.0,0.0,52836069000000.0,0.2611,0.0,0.0,0.0445,0.0,62.73,0.0,0.0,0.0,31400,2353711550151
000890,보해양조,-1.08,-0.59,0.0,1.26,-1.09,10.54,81.74,134.9,134.9,55.02,6.6,-39.7,0.0,0.0,83748910790.0,0.547,0.0,0.0,1.4932,0.0,184.03,0.0,0.0,0.0,905,125054545454
000910,유니온,5.65,2.83,0.0,2.4,4.8,51.73,99.38,107.38,107.38,50.15,14.13,-33.79,0.0,0.0,215922625914.0,0.5897,0.0,0.0,0.5454,0.0,58.04,0.0,0.0,0.0,7540,117770796460
000950,전방,0.11,0.04,0.0,5.5,0.12,73.6,166.14,130.72,130.72,37.57,27.19,140.99,0.0,0.0,133745227330.0,0.3489,0.0,0.0,0.5053,0.0,41.69,0.0,0.0,0.0,40200,67579135618
000970,한국주철관공업,19.0,15.58,0.0,9.52,12.92,485.69,21.96,363.35,363.35,81.99,55.41,328.2,0.0,0.0,510185095507.0,1.2059,0.0,0.0,0.4068,0.0,5.84,0.0,0.0,0.0,9100,207530555555
000990,DB하이텍,28.65,20.45,0.0,32.86,26.09,3991.07,40.13,243.09,243.09,71.36,29.78,66.76,0.0,0.0,1214682040178.0,0.7837,0.0,0.0,2.6038,0.0,9.04,0.0,0.0,0.0,72700,3162756033676
001000,신라섬유,4.35,2.04,0.0,15.37,15.41,6.69,113.28,11.12,11.12,46.89,4.11,-2.51,0.0,0.0,4350723533.0,0.1324,0.0,0.0,12.5926,0.0,108.05,0.0,0.0,0.0,2255,54786971830
001020,페이퍼코리아,20.37,1.86,0.0,7.23,2.12,314.59,995.54,123.2,123.2,9.13,-10.08,-9.11,0.0,0.0,435282695963.0,0.8755,0.0,0.0,0.6562,0.0,23.44,0.0,0.0,0.0,1605,285619708029
001040,CJ,4.9,1.92,0.0,5.46,2.34,18818.0,154.84,95.81,95.81,39.24,7.77,35.35,0.0,0.0,34484026554000.0,0.8219,0.0,0.0,0.0706,0.0,14.84,0.0,0.0,0.0,83400,2433374825174
001060,JW중외제약,-0.76,-0.23,0.0,5.14,-0.24,312.0,235.77,129.64,129.64,29.78,10.83,2458.3,0.0,0.0,606584944778.0,0.9582,0.0,0.0,0.8752,0.0,31.26,0.0,0.0,0.0,22800,530888394276
001070,대한방직,1.12,0.67,0.0,2.7,0.78,54.07,66.79,171.81,171.81,59.96,14.34,52.29,0.0,0.0,200372904619.0,0.8614,0.0,0.0,1.3074,0.0,65.68,0.0,0.0,0.0,49400,261958641063
001080,만호제강,0.37,0.34,0.0,0.64,0.44,12.56,10.8,730.32,730.32,90.25,-0.15,443.17,0.0,0.0,196123923305.0,0.7595,0.0,0.0,4.8783,0.0,781.77,0.0,0.0,0.0,23050,956750954198
001120,LX인터내셔널,22.66,8.01,0.0,3.93,3.24,6562.17,182.98,127.56,127.56,35.34,47.9,310.56,0.0,0.0,16686532633651.0,2.4732,0.0,0.0,0.0614,0.0,8.21,0.0,0.0,0.0,26450,1025224419778
001130,대한제분,9.91,6.61,0.0,2.25,7.85,249.6,50.08,179.9,179.9,66.63,14.54,8.68,0.0,0.0,1111341734130.0,0.8409,0.0,0.0,0.235,0.0,28.13,0.0,0.0,0.0,154500,261116945876
001140,국보,-55.49,-17.27,0.0,-8.27,-18.24,-80.09,221.31,97.28,97.28,31.12,-11.9,25.87,0.0,0.0,96849603243.0,0.9466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
001210,금호전기,-53.83,-11.79,0.0,-20.56,-23.74,-85.6,356.63,103.41,103.41,21.9,-7.47,-33.26,0.0,0.0,41640597680.0,0.4966,0.0,0.0,5.261,0.0,0.0,0.0,0.0,0.0,3540,219072251308
001230,동국홀딩스,20.08,8.82,0.0,11.09,7.72,8030.15,127.65,86.01,86.01,43.93,39.07,172.49,0.0,0.0,7240296531105.0,1.1431,0.0,0.0,0.0698,0.0,5.05,0.0,0.0,0.0,15900,505622862286
001250,GS글로벌,6.43,1.53,0.0,1.01,0.57,388.47,321.2,112.1,112.1,23.74,36.73,20.27,0.0,0.0,3849040520289.0,2.668,0.0,0.0,0.0508,0.0,33.36,0.0,0.0,0.0,2370,195579692307
